StateCode,Id,Latitude,Longitude,Elevation,TimeZone,PrimaryCity
NY,00501,40.815400,-73.045600,25,-5,HOLTSVILLE
NY,00544,40.815400,-73.045600,25,-5,HOLTSVILLE
PR,00601,18.196747,-66.736735,0,-4,ADJUNTAS
PR,00602,18.352927,-67.177532,0,-4,AGUADA
PR,00603,18.458585,-67.129867,0,-4,AGUADILLA
PR,00604,18.488773,-67.147741,0,-4,AGUADILLA
PR,00605,18.428900,-67.153800,0,-4,AGUADILLA
PR,00606,18.166734,-66.939233,0,-4,MARICAO
PR,00610,18.294649,-67.130034,0,-4,ANASCO
PR,00611,18.285600,-66.969800,0,-4,ANGELES
PR,00612,18.388009,-66.665279,0,-4,ARECIBO
PR,00613,18.474400,-66.716300,0,-4,ARECIBO
PR,00614,18.474400,-66.716300,0,-4,ARECIBO
PR,00616,18.405484,-66.671233,0,-4,BAJADERO
PR,00617,18.429792,-66.558109,0,-4,BARCELONETA
PR,00622,17.992876,-67.153699,0,-4,BOQUERON
PR,00623,18.040203,-67.146574,0,-4,CABO ROJO
PR,00624,18.072797,-66.724825,0,-4,PENUELAS
PR,00627,18.425195,-66.867756,0,-4,CAMUY
PR,00631,18.224554,-66.867756,0,-4,CASTANER
PR,00636,18.164700,-67.079700,0,-4,ROSARIO
PR,00637,18.077592,-66.939232,0,-4,SABANA GRANDE
PR,00638,18.299662,-66.498579,0,-4,CIALES
PR,00641,18.279721,-66.689096,0,-4,UTUADO
PR,00646,18.459098,-66.272418,0,-4,DORADO
PR,00647,17.972520,-66.945189,0,-4,ENSENADA
PR,00650,18.363009,-66.558109,0,-4,FLORIDA
PR,00652,18.451909,-66.599784,0,-4,GARROCHALES
PR,00653,17.982516,-66.891581,0,-4,GUANICA
PR,00656,18.037324,-66.796287,0,-4,GUAYANILLA
PR,00659,18.416025,-66.796287,0,-4,HATILLO
PR,00660,18.138245,-67.111993,0,-4,HORMIGUEROS
PR,00662,18.456130,-67.022630,0,-4,ISABELA
PR,00664,18.210309,-66.581923,0,-4,JAYUYA
PR,00667,18.010034,-67.022630,0,-4,LAJAS
PR,00669,18.291418,-66.867756,0,-4,LARES
PR,00670,18.239633,-66.986887,0,-4,LAS MARIAS
PR,00674,18.433168,-66.498579,0,-4,MANATI
PR,00676,18.385559,-67.082204,0,-4,MOCA
PR,00677,18.331739,-67.231158,0,-4,RINCON
PR,00678,18.431293,-66.915406,0,-4,QUEBRADILLAS
PR,00680,18.210009,-67.106035,0,-4,MAYAGUEZ
PR,00681,18.121100,-67.082400,0,-4,MAYAGUEZ
PR,00682,18.220812,-67.147741,0,-4,MAYAGUEZ
PR,00683,18.099194,-67.022630,0,-4,SAN GERMAN
PR,00685,18.316188,-66.974973,0,-4,SAN SEBASTIAN
PR,00687,18.322194,-66.415246,0,-4,MOROVIS
PR,00688,18.349991,-66.629553,0,-4,SABANA HOYOS
PR,00690,18.501890,-67.097099,0,-4,SAN ANTONIO
PR,00692,18.401800,-66.343828,0,-4,VEGA ALTA
PR,00693,18.420721,-66.403342,0,-4,VEGA BAJA
PR,00694,18.446500,-66.388400,0,-4,VEGA BAJA
PR,00698,18.090875,-66.867756,0,-4,YAUCO
PR,00703,18.262566,-66.129629,0,-4,AGUAS BUENAS
PR,00704,17.980199,-66.218868,0,-4,AGUIRRE
PR,00705,18.135403,-66.260518,0,-4,AIBONITO
PR,00707,18.012675,-65.915522,0,-4,MAUNABO
PR,00714,17.987052,-66.058249,0,-4,ARROYO
PR,00715,18.007113,-66.558109,0,-4,MERCEDITA
PR,00716,17.987655,-66.623600,0,-4,PONCE
PR,00717,18.000417,-66.614669,0,-4,PONCE
PR,00718,18.250050,-65.784727,0,-4,NAGUABO
PR,00719,18.278197,-66.248617,0,-4,NARANJITO
PR,00720,18.204540,-66.450958,0,-4,OROCOVIS
PR,00721,18.301800,-66.080000,0,-4,PALMER
PR,00723,18.025158,-66.010668,0,-4,PATILLAS
PR,00725,18.205646,-66.034458,0,-4,CAGUAS
PR,00726,18.236400,-66.048900,0,-4,CAGUAS
PR,00727,18.216710,-66.055275,0,-4,CAGUAS
PR,00728,18.019233,-66.653370,0,-4,PONCE
PR,00729,18.341924,-65.891738,0,-4,CANOVANAS
PR,00730,18.032129,-66.623600,0,-4,PONCE
PR,00731,18.095571,-66.641462,0,-4,PONCE
PR,00732,18.013300,-66.614600,0,-4,PONCE
PR,00733,18.013300,-66.614600,0,-4,PONCE
PR,00734,18.013300,-66.614600,0,-4,PONCE
PR,00735,18.243581,-65.653972,0,-4,CEIBA
PR,00736,18.078621,-66.165322,0,-4,CAYEY
PR,00737,18.113800,-66.166700,0,-4,CAYEY
PR,00738,18.309990,-65.653972,0,-4,FAJARDO
PR,00739,18.176915,-66.153424,0,-4,CIDRA
PR,00740,18.338024,-65.593093,0,-4,PUERTO REAL
PR,00741,18.164620,-65.766894,0,-4,PUNTA SANTIAGO
PR,00742,18.266600,-65.648200,0,-4,ROOSEVELT ROADS
PR,00744,18.220200,-65.790200,0,-4,RIO BLANCO
PR,00745,18.345050,-65.832284,0,-4,RIO GRANDE
PR,00751,18.002225,-66.260518,0,-4,SALINAS
PR,00754,18.142369,-65.974986,0,-4,SAN LORENZO
PR,00757,17.985792,-66.391439,0,-4,SANTA ISABEL
PR,00765,18.126285,-65.440098,0,-4,VIEQUES
PR,00766,18.130000,-66.474329,0,-4,VILLALBA
PR,00767,18.068802,-65.903106,0,-4,YABUCOA
PR,00769,18.096036,-66.351012,0,-4,COAMO
